Przedmiot,Okres 1: Oceny Bieżące,Okres 1: Śr.I,Okres 1: I,Okres 2: Oceny Bieżące,Okres 2: Śr.II,Okres 2: II,Koniec roku: Sr.R,Koniec roku: R
Biologia,3 +,+,,,,,3,
Biznes i zarządzanie,3 4 2,,,,,,3,
Chemia,[ 1,2 ][ 1 2,- ],,,,2,
Edukacja Obywatelska,5 4 1,,,,,,3,
Edukacja Zdrowotna,Brak ocen,,,,,,-,
Fizyka,1 [ 1,np 2,] bz 5+,,,,2,
Geografia,[ 1 5 [ n,1 4 ][ 1,3 ][ nb 2 ],,,,3,
,,b 3+ ],,,,,,
Godzina wychowawcza,Brak ocen,,,,,,-,
Historia,2 1,2+,,,,,2,
Informatyka,6 5,5,,,,,5,
Język angielski,T,,,,,,5,
Język hiszpański,T +,+ +,T T T,,,,1,
Język polski,4 4,4 3+ np 4+ 3- 1,,,,,4,
,3+,,,,,,,
Kultura Hiszpanii,T,,,,,,2,
Literatura hiszpańska,T T T T T,,,,,,4,
Matematyka,2+,4 [ 2 -,] 1 1,,,,2,
Religia,Brak ocen,,,,,,-,
Wychowanie fizyczne,+ np np + + + np +,,,,,,4,
Zachowanie,,,,,,,bardzo dobre,
,Kategoria,,Komentarz,,Oceny,,Data wystawienia,
,Okres 1,,,,,,,
,Brak ocen,,,,,,,
,Punkty startowe,,,,0,,,
,Suma,,,,0,,,
,,,,,,,Ocena śródroczna przewidywana wystawiona przez nauczyciela:,
,Ocena opisowa śródroczna,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
